cont_id,part_id,cnt_age_exact,cnt_age_est_min,cnt_age_est_max,cnt_gender,cnt_home,cnt_school,cnt_work,cnt_transport,cnt_leisure,cnt_otherplace,frequency_multi,phys_contact,duration_multi
1,1,31,19,34,F,TRUE,FALSE,FALSE,NA,NA,FALSE,NA,1,NA
2,1,NA,35,59,M,TRUE,FALSE,FALSE,NA,NA,FALSE,NA,2,NA
3,1,12,6,12,M,TRUE,FALSE,FALSE,NA,NA,FALSE,NA,1,NA
4,1,5,1,5,M,TRUE,FALSE,FALSE,NA,NA,FALSE,NA,1,NA
5,1,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,1,31,19,34,F,TRUE,FALSE,FALSE,NA,NA,FALSE,NA,1,NA
7,1,36,35,59,M,TRUE,FALSE,FALSE,NA,NA,FALSE,NA,1,NA
8,1,12,6,12,M,TRUE,FALSE,FALSE,NA,NA,FALSE,NA,1,NA
9,1,5,1,5,M,TRUE,FALSE,FALSE,NA,NA,FALSE,NA,1,NA
10,2,55,35,59,F,TRUE,FALSE,FALSE,NA,NA,FALSE,NA,1,NA
11,2,60,60,105,M,TRUE,FALSE,FALSE,NA,NA,FALSE,NA,1,NA
12,2,7,6,12,M,TRUE,FALSE,FALSE,NA,NA,FALSE,NA,1,NA
13,2,33,19,34,F,TRUE,FALSE,FALSE,NA,NA,FALSE,NA,2,NA
14,2,30,19,34,F,TRUE,FALSE,FALSE,NA,NA,FALSE,NA,2,NA
15,2,3,1,5,M,TRUE,FALSE,FALSE,NA,NA,FALSE,NA,2,NA
16,2,45,35,59,M,TRUE,FALSE,FALSE,NA,NA,FALSE,NA,1,NA
17,2,50,35,59,F,FALSE,FALSE,FALSE,NA,NA,TRUE,NA,1,NA
18,2,54,35,59,F,FALSE,FALSE,FALSE,NA,NA,TRUE,NA,1,NA
19,2,31,19,34,M,TRUE,FALSE,FALSE,NA,NA,FALSE,NA,1,NA
20,2,NA,19,34,M,FALSE,FALSE,FALSE,NA,NA,TRUE,NA,2,NA
21,2,7,6,12,F,TRUE,FALSE,FALSE,NA,NA,FALSE,NA,2,NA
22,2,20,19,34,F,FALSE,FALSE,FALSE,NA,NA,TRUE,NA,2,NA
23,2,12,6,12,F,FALSE,FALSE,FALSE,NA,NA,TRUE,NA,1,NA
24,2,11,6,12,F,TRUE,FALSE,FALSE,NA,NA,FALSE,NA,1,NA
25,2,NA,13,18,F,FALSE,FALSE,FALSE,NA,NA,TRUE,NA,2,NA
26,2,60,60,105,F,FALSE,FALSE,FALSE,NA,NA,TRUE,NA,1,NA
27,2,52,35,59,M,FALSE,FALSE,FALSE,NA,NA,TRUE,NA,2,NA
28,2,NA,19,34,F,TRUE,FALSE,FALSE,NA,NA,FALSE,NA,2,NA
29,2,NA,19,34,M,FALSE,FALSE,FALSE,NA,NA,TRUE,NA,2,NA
30,2,55,35,59,F,TRUE,FALSE,FALSE,NA,NA,FALSE,NA,1,NA
31,2,60,60,105,M,NA,NA,NA,NA,NA,NA,NA,1,NA
32,2,31,19,34,M,NA,NA,NA,NA,NA,NA,NA,2,NA
33,2,7,6,12,M,NA,NA,NA,NA,NA,NA,NA,1,NA
34,2,NA,19,34,M,FALSE,FALSE,FALSE,NA,NA,TRUE,NA,2,NA
35,2,NA,35,59,M,FALSE,FALSE,FALSE,NA,NA,TRUE,NA,2,NA
36,2,NA,6,12,M,FALSE,FALSE,FALSE,NA,NA,TRUE,NA,2,NA
37,2,NA,1,5,F,FALSE,FALSE,FALSE,NA,NA,TRUE,NA,2,NA
38,2,NA,1,5,M,FALSE,FALSE,FALSE,NA,NA,TRUE,NA,2,NA
39,2,42,35,59,F,FALSE,FALSE,FALSE,NA,NA,TRUE,NA,1,NA
40,2,11,6,12,F,FALSE,FALSE,FALSE,NA,NA,TRUE,NA,2,NA
41,2,10,6,12,F,FALSE,FALSE,FALSE,NA,NA,TRUE,NA,2,NA
42,2,9,6,12,M,FALSE,FALSE,FALSE,NA,NA,TRUE,NA,1,NA
43,3,37,35,59,F,TRUE,FALSE,FALSE,NA,NA,FALSE,NA,2,NA
44,3,43,35,59,M,TRUE,FALSE,FALSE,NA,NA,FALSE,NA,2,NA
45,3,6,6,12,M,TRUE,FALSE,FALSE,NA,NA,FALSE,NA,1,NA
46,3,10,6,12,M,FALSE,FALSE,FALSE,NA,NA,TRUE,NA,1,NA
47,3,37,35,59,F,TRUE,FALSE,FALSE,NA,NA,FALSE,NA,2,NA
48,3,43,35,59,M,TRUE,FALSE,FALSE,NA,NA,FALSE,NA,2,NA
49,3,6,6,12,M,TRUE,FALSE,FALSE,NA,NA,FALSE,NA,1,NA
50,3,9,6,12,M,FALSE,FALSE,FALSE,NA,NA,TRUE,NA,1,NA
51,3,11,6,12,M,FALSE,FALSE,FALSE,NA,NA,TRUE,NA,1,NA
52,3,10,6,12,M,TRUE,FALSE,FALSE,NA,NA,FALSE,NA,1,NA
53,4,28,19,34,F,TRUE,FALSE,FALSE,NA,NA,FALSE,NA,1,NA
54,4,4,1,5,M,TRUE,FALSE,FALSE,NA,NA,FALSE,NA,1,NA
55,4,9,6,12,F,TRUE,FALSE,FALSE,NA,NA,FALSE,NA,1,NA
56,4,21,19,34,M,TRUE,FALSE,FALSE,NA,NA,FALSE,NA,1,NA
57,4,59,35,59,F,TRUE,FALSE,FALSE,NA,NA,FALSE,NA,1,NA
58,4,36,35,59,M,TRUE,FALSE,FALSE,NA,NA,FALSE,NA,2,NA
59,4,29,19,34,F,TRUE,FALSE,FALSE,NA,NA,FALSE,NA,1,NA
60,4,12,6,12,M,TRUE,FALSE,FALSE,NA,NA,FALSE,NA,1,NA
61,4,16,13,18,F,FALSE,FALSE,FALSE,NA,NA,TRUE,NA,1,NA
62,4,13,13,18,M,FALSE,FALSE,FALSE,NA,NA,TRUE,NA,1,NA
63,4,6,6,12,,TRUE,FALSE,FALSE,NA,NA,FALSE,NA,1,NA
64,4,30,19,34,F,FALSE,FALSE,FALSE,NA,NA,TRUE,NA,1,NA
65,4,28,19,34,F,TRUE,FALSE,FALSE,NA,NA,FALSE,NA,1,NA
66,4,9,6,12,F,TRUE,FALSE,FALSE,NA,NA,FALSE,NA,1,NA
67,4,4,1,5,M,TRUE,FALSE,FALSE,NA,NA,FALSE,NA,1,NA
68,4,21,19,34,M,TRUE,FALSE,FALSE,NA,NA,FALSE,NA,1,NA
69,4,6,6,12,F,TRUE,FALSE,FALSE,NA,NA,FALSE,NA,1,NA
70,4,59,35,59,F,FALSE,FALSE,FALSE,NA,NA,TRUE,NA,1,NA
71,4,13,13,18,M,FALSE,FALSE,FALSE,NA,NA,TRUE,NA,1,NA
72,4,5,1,5,F,TRUE,FALSE,FALSE,NA,NA,FALSE,NA,1,NA
73,4,13,13,18,M,FALSE,FALSE,FALSE,NA,NA,TRUE,NA,1,NA
74,4,29,35,59,F,TRUE,FALSE,FALSE,NA,NA,FALSE,NA,2,NA
75,4,36,35,59,M,FALSE,FALSE,FALSE,NA,NA,TRUE,NA,2,NA
76,4,16,13,18,F,TRUE,FALSE,FALSE,NA,NA,FALSE,NA,1,NA
77,4,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA
78,5,34,19,34,F,TRUE,FALSE,FALSE,NA,NA,FALSE,NA,1,NA
79,5,10,6,12,M,TRUE,FALSE,FALSE,NA,NA,FALSE,NA,1,NA
80,5,36,35,59,F,TRUE,FALSE,FALSE,NA,NA,FALSE,NA,1,NA
81,5,39,35,59,M,TRUE,FALSE,FALSE,NA,NA,FALSE,NA,1,NA
82,5,13,13,18,M,TRUE,FALSE,FALSE,NA,NA,FALSE,NA,1,NA
83,5,10,6,12,F,TRUE,FALSE,FALSE,NA,NA,FALSE,NA,1,NA
84,5,3,1,5,F,TRUE,FALSE,FALSE,NA,NA,FALSE,NA,1,NA
85,5,NA,35,59,M,TRUE,FALSE,FALSE,NA,NA,FALSE,NA,2,NA
86,5,NA,35,59,M,TRUE,FALSE,FALSE,NA,NA,FALSE,NA,2,NA
87,5,NA,19,34,M,TRUE,FALSE,FALSE,NA,NA,FALSE,NA,2,NA
88,5,NA,19,34,F,TRUE,FALSE,FALSE,NA,NA,FALSE,NA,2,NA
89,5,34,19,34,F,TRUE,FALSE,FALSE,NA,NA,FALSE,NA,1,NA
90,5,39,35,59,M,TRUE,FALSE,FALSE,NA,NA,FALSE,NA,1,NA
91,5,36,35,59,F,TRUE,FALSE,FALSE,NA,NA,FALSE,NA,1,NA
92,5,13,13,18,M,TRUE,FALSE,FALSE,NA,NA,FALSE,NA,1,NA
93,5,10,6,12,M,TRUE,FALSE,FALSE,NA,NA,FALSE,NA,1,NA
94,5,10,6,12,F,TRUE,FALSE,FALSE,NA,NA,FALSE,NA,1,NA
95,5,3,1,5,F,TRUE,FALSE,FALSE,NA,NA,FALSE,NA,1,NA
96,5,NA,19,34,M,FALSE,FALSE,TRUE,NA,NA,FALSE,NA,2,NA
97,5,NA,19,34,F,FALSE,FALSE,TRUE,NA,NA,FALSE,NA,2,NA
98,5,NA,35,59,F,FALSE,FALSE,TRUE,NA,NA,FALSE,NA,2,NA
99,5,NA,35,59,M,FALSE,FALSE,TRUE,NA,NA,FALSE,NA,2,NA
