cont_id,studyDay,cnt_partrel
1,1,Mother
2,1,Father
3,1,Brother
4,1,Brother
5,1,
6,2,Mother
7,2,Father
8,2,Brother
9,2,Brother
10,1,Grandmother
11,1,Grandfather
12,1,Other relative
13,1,Not related
14,1,Not related
15,1,Not related
16,1,Uncle
17,1,Grandmother
18,1,Grandmother
19,1,Father
20,1,Not related
21,1,Not related
22,1,Aunt
23,1,Aunt
24,1,Sister
25,1,Not related
26,1,Grandmother
27,1,Grandfather
28,1,Not related
29,1,Uncle
30,2,Grandmother
31,2,Grandfather
32,2,Father
33,2,Other relative
34,2,Not related
35,2,Not related
36,2,Not related
37,2,Not related
38,2,Not related
39,2,Grandmother
40,2,Aunt
41,2,Not related
42,2,Brother
43,1,Mother
44,1,Father
45,1,Not related
46,1,Not related
47,2,Mother
48,2,Father
49,2,Not related
50,2,Not related
51,2,Not related
52,2,Not related
53,1,Mother
54,1,Brother
55,1,Sister
56,1,Uncle
57,1,Grandmother
58,1,Uncle
59,1,Aunt
60,1,Brother
61,1,Sister
62,1,Nephew
63,1,Not related
64,1,Aunt
65,2,Mother
66,2,Sister
67,2,Brother
68,2,Uncle
69,2,Sister
70,2,Grandmother
71,2,Brother
72,2,Not related
73,2,Nephew
74,2,Aunt
75,2,Uncle
76,2,Niece
77,2,
78,1,Wife
79,1,Son
80,1,Aunt
81,1,Uncle
82,1,Son
83,1,Daughter
84,1,Daughter
85,1,Not related
86,1,Not related
87,1,Not related
88,1,Not related
89,2,Wife
90,2,Uncle
91,2,Aunt
92,2,Son
93,2,Son
94,2,Daughter
95,2,Daughter
96,2,Not related
97,2,Not related
98,2,Not related
99,2,Not related
100,2,Not related
101,2,Not related
102,2,Not related
103,1,Aunt
104,1,Mother
105,1,Brother
106,1,Brother
107,1,Sister
108,1,Uncle
109,1,Sister
110,1,Grandfather
111,1,Aunt
112,1,Aunt
113,1,Grandmother
114,1,Not related
115,1,Not related
116,2,Mother
117,2,Father
118,2,Brother
119,2,Brother
120,2,Aunt
121,2,Not related
