hh_id,hhline,hh_member_id,study_site,hhmem_relation_ego,hhmem_age,hhmem_gender,sleep_room_ego,hh_access_to_water,hh_toilet,hh_shared_toilet,hh_electricity,hh_refridgerator,hh_radio,hh_television,type_house,type_floor
HH1,1,HH1_1,2,Father,36,M,1,1,1,1,1,0,1,1,3,3
HH1,2,HH1_2,2,Mother,31,F,1,1,1,1,1,0,1,1,3,3
HH1,3,HH1_3,2,Brother,12,M,0,1,1,1,1,0,1,1,3,3
HH1,4,HH1_4,2,Brother,5,M,0,1,1,1,1,0,1,1,3,3
HH2,1,HH2_1,2,Grandmother,55,F,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
HH2,2,HH2_2,2,Other relative,7,M,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
HH2,3,HH2_3,2,Grandfather,60,M,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
HH2,4,HH2_4,2,Father,31,M,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
HH3,1,HH3_1,2,Mother,37,F,0,1,1,1,1,0,0,0,3,3
HH3,2,HH3_2,2,Father,43,M,0,1,1,1,1,0,0,0,3,3
HH4,1,HH4_1,2,Mother,28,F,1,5,2,1,0,0,0,0,4,3
HH4,2,HH4_2,2,Nephew,21,M,0,5,2,1,0,0,0,0,4,3
HH4,3,HH4_3,2,Sister,9,F,1,5,2,1,0,0,0,0,4,3
HH4,4,HH4_4,2,Brother,4,M,1,5,2,1,0,0,0,0,4,3
HH5,1,HH5_1,2,Wife,35,F,1,1,1,1,1,0,1,1,3,3
HH5,2,HH5_2,2,Son,10,M,0,1,1,1,1,0,1,1,3,3
HH5,3,HH5_3,2,Other relative,39,M,0,1,1,1,1,0,1,1,3,3
HH5,4,HH5_4,2,Aunt,36,F,0,1,1,1,1,0,1,1,3,3
HH5,5,HH5_5,2,Son,12,M,0,1,1,1,1,0,1,1,3,3
HH5,6,HH5_6,2,Daughter,10,F,0,1,1,1,1,0,1,1,3,3
HH5,7,HH5_7,2,Daughter,2,F,0,1,1,1,1,0,1,1,3,3
HH6,1,HH6_1,2,Father,47,M,0,2,2,2,1,1,1,1,3,3
HH6,2,HH6_2,2,Mother,39,F,0,2,2,2,1,1,1,1,3,3
HH6,3,HH6_3,2,Brother,10,M,1,2,2,2,1,1,1,1,3,3
HH6,4,HH6_4,2,Brother,5,M,1,2,2,2,1,1,1,1,3,3
HH7,1,HH7_1,2,Sister,14,F,1,2,1,1,1,1,1,1,3,3
HH7,2,HH7_2,2,Sister,11,F,0,2,1,1,1,1,1,1,3,3
HH7,3,HH7_3,2,Sister,4,F,1,2,1,1,1,1,1,1,3,3
HH7,4,HH7_4,2,Mother,30,F,0,2,1,1,1,1,1,1,3,3
HH7,5,HH7_5,2,Father,40,M,0,2,1,1,1,1,1,1,3,3
HH7,6,HH7_6,2,Sister,0,F,0,2,1,1,1,1,1,1,3,3
HH8,1,HH8_1,2,Sister,7,F,0,4,2,1,0,0,0,0,3,3
HH8,2,HH8_2,2,Sister,6,F,0,4,2,1,0,0,0,0,3,3
HH8,3,HH8_3,2,Mother,30,F,1,4,2,1,0,0,0,0,3,3
HH8,4,HH8_4,2,Father,42,M,1,4,2,1,0,0,0,0,3,3
HH9,1,HH9_1,2,Wife,52,F,1,1,2,1,0,0,1,0,3,3
HH9,2,HH9_2,2,Daughter,19,F,0,1,2,1,0,0,1,0,3,3
HH9,3,HH9_3,2,Son,18,M,0,1,2,1,0,0,1,0,3,3
HH9,4,HH9_4,2,Son-in-law,21,M,0,1,2,1,0,0,1,0,3,3
HH9,5,HH9_5,2,Mother-in-law,81,F,0,1,2,1,0,0,1,0,3,3
HH9,6,HH9_6,2,Not related,46,M,0,1,2,1,0,0,1,0,3,3
HH10,1,HH10_1,2,Wife,33,F,1,2,2,1,1,0,1,1,3,3
HH10,2,HH10_2,2,Daughter,12,F,0,2,2,1,1,0,1,1,3,3
HH10,3,HH10_3,2,Son,1,M,1,2,2,1,1,0,1,1,3,3
HH10,4,HH10_4,2,Son,7,M,0,2,2,1,1,0,1,1,3,3
HH11,1,HH11_1,2,Father,32,M,0,2,2,2,1,0,1,1,3,3
HH11,2,HH11_2,2,Mother,30,F,0,2,2,2,1,0,1,1,3,3
HH11,3,HH11_3,2,Brother,8,M,1,2,2,2,1,0,1,1,3,3
HH12,1,HH12_1,2,Mother,36,F,1,1,1,1,1,0,1,1,3,3
HH13,1,HH13_1,2,Daughter,26,F,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
HH13,2,HH13_2,2,Son,28,M,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
HH14,1,HH14_1,2,Wife,58,F,1,5,2,1,0,0,1,1,3,3
HH14,2,HH14_2,2,Grandchild,7,M,1,5,2,1,0,0,1,1,3,3
HH14,3,HH14_3,2,Grandchild,18,M,1,5,2,1,0,0,1,1,3,3
HH14,4,HH14_4,2,Grandchild,14,F,1,5,2,1,0,0,1,1,3,3
HH14,5,HH14_5,2,Grandchild,13,F,1,5,2,1,0,0,1,1,3,3
