hh_id,country,hh_size
HH1,ZW,5
HH2,ZW,5
HH3,ZW,3
HH4,ZW,5
HH5,ZW,8
HH6,ZW,5
HH7,ZW,7
HH8,ZW,5
HH9,ZW,7
HH10,ZW,5
HH11,ZW,4
HH12,ZW,2
HH13,ZW,3
HH14,ZW,6
HH15,ZW,4
HH16,ZW,1
HH17,ZW,4
HH18,ZW,3
HH19,ZW,7
HH20,ZW,2
HH21,ZW,7
HH22,ZW,5
HH23,ZW,4
HH24,ZW,1
HH25,ZW,4
HH26,ZW,6
HH27,ZW,7
HH28,ZW,4
HH29,ZW,3
HH30,ZW,3
HH31,ZW,1
HH32,ZW,4
HH33,ZW,6
HH34,ZW,4
HH35,ZW,3
HH36,ZW,5
HH37,ZW,5
HH38,ZW,5
HH39,ZW,1
HH40,ZW,6
HH41,ZW,2
HH42,ZW,4
HH43,ZW,4
HH44,ZW,5
HH45,ZW,5
HH46,ZW,1
HH47,ZW,2
HH48,ZW,3
HH49,ZW,9
HH50,ZW,2
HH51,ZW,6
HH52,ZW,3
HH53,ZW,5
HH54,ZW,1
HH55,ZW,4
HH56,ZW,4
HH57,ZW,3
HH58,ZW,7
HH59,ZW,3
HH60,ZW,2
HH61,ZW,3
HH62,ZW,5
HH63,ZW,3
HH64,ZW,4
HH65,ZW,1
HH66,ZW,5
HH67,ZW,4
HH68,ZW,5
HH69,ZW,5
HH70,ZW,5
HH71,ZW,5
HH72,ZW,5
HH73,ZW,9
HH74,ZW,1
HH75,ZW,3
HH76,ZW,8
HH77,ZW,2
HH78,ZW,6
HH79,ZW,9
HH80,ZW,9
HH81,ZW,3
HH82,ZW,6
HH83,ZW,3
HH84,ZW,6
HH85,ZW,6
HH86,ZW,2
HH87,ZW,2
HH88,ZW,4
HH89,ZW,3
HH90,ZW,1
HH91,ZW,3
HH92,ZW,4
HH93,ZW,10
HH94,ZW,5
HH95,ZW,5
HH96,ZW,4
HH97,ZW,7
HH98,ZW,3
HH99,ZW,6
HH100,ZW,9
HH101,ZW,4
HH102,ZW,3
HH103,ZW,7
HH104,ZW,4
HH105,ZW,9
HH106,ZW,4
HH107,ZW,3
HH108,ZW,4
HH109,ZW,6
HH110,ZW,11
HH111,ZW,5
HH112,ZW,7
HH113,ZW,8
HH114,ZW,2
HH115,ZW,4
HH116,ZW,4
HH117,ZW,4
HH118,ZW,5
HH119,ZW,3
HH120,ZW,4
HH121,ZW,3
HH122,ZW,2
HH123,ZW,2
HH124,ZW,4
HH125,ZW,4
HH126,ZW,5
HH127,ZW,3
HH128,ZW,8
HH129,ZW,4
HH130,ZW,4
HH131,ZW,2
HH132,ZW,4
HH133,ZW,5
HH134,ZW,8
HH135,ZW,5
HH136,ZW,6
HH137,ZW,3
HH138,ZW,5
HH139,ZW,4
HH140,ZW,5
HH141,ZW,6
HH142,ZW,4
HH143,ZW,4
HH144,ZW,3
HH145,ZW,7
HH146,ZW,5
HH147,ZW,4
HH148,ZW,3
HH149,ZW,3
HH150,ZW,7
HH151,ZW,4
HH152,ZW,5
HH153,ZW,6
HH154,ZW,6
HH155,ZW,6
HH156,ZW,4
HH157,ZW,3
HH158,ZW,2
HH159,ZW,13
HH160,ZW,7
HH161,ZW,4
HH162,ZW,7
HH163,ZW,4
HH164,ZW,4
HH165,ZW,5
HH166,ZW,1
HH167,ZW,4
HH168,ZW,3
HH169,ZW,5
HH170,ZW,2
HH171,ZW,3
HH172,ZW,6
HH173,ZW,3
HH174,ZW,5
HH175,ZW,5
HH176,ZW,4
HH177,ZW,5
HH178,ZW,4
HH179,ZW,6
HH180,ZW,4
HH181,ZW,4
HH182,ZW,2
HH183,ZW,5
HH184,ZW,6
HH185,ZW,4
HH186,ZW,5
HH187,ZW,5
HH188,ZW,3
HH189,ZW,4
HH190,ZW,4
HH191,ZW,4
HH192,ZW,4
HH193,ZW,4
HH194,ZW,4
HH195,ZW,6
HH196,ZW,5
HH197,ZW,5
HH198,ZW,4
HH199,ZW,4
HH200,ZW,6
HH201,ZW,4
HH202,ZW,4
HH203,ZW,3
HH204,ZW,4
HH205,ZW,5
HH206,ZW,3
HH207,ZW,4
HH208,ZW,5
HH209,ZW,3
HH210,ZW,4
HH211,ZW,3
HH212,ZW,5
HH213,ZW,5
HH214,ZW,3
HH215,ZW,6
HH216,ZW,3
HH217,ZW,7
HH218,ZW,4
HH219,ZW,4
HH220,ZW,4
HH221,ZW,3
HH222,ZW,5
HH223,ZW,3
HH224,ZW,5
HH225,ZW,2
HH226,ZW,4
HH227,ZW,5
HH228,ZW,6
HH229,ZW,4
HH230,ZW,4
HH231,ZW,5
HH232,ZW,4
HH233,ZW,6
HH234,ZW,1
HH235,ZW,6
HH236,ZW,7
HH237,ZW,9
HH238,ZW,5
HH239,ZW,5
HH240,ZW,5
HH241,ZW,7
HH242,ZW,4
HH243,ZW,6
HH244,ZW,1
HH245,ZW,2
HH246,ZW,7
HH247,ZW,7
HH248,ZW,3
HH249,ZW,6
HH250,ZW,5
HH251,ZW,5
HH252,ZW,9
HH253,ZW,2
HH254,ZW,5
HH255,ZW,4
