hh_id,hhline,study_site,hhmem_relation_ego,hhmem_age,hhmem_gender,sleep_room_ego,hh_access_to_water,hh_toilet,hh_shared_toilet,hh_electricity,hh_refridgerator,hh_radio,hh_television,type_house,type_floor
HH1,1,2,Father,36,M,1,1,1,1,1,0,1,1,3,3
HH1,2,2,Mother,31,F,1,1,1,1,1,0,1,1,3,3
HH1,3,2,Brother,12,M,0,1,1,1,1,0,1,1,3,3
HH1,4,2,Brother,5,M,0,1,1,1,1,0,1,1,3,3
HH2,1,2,Grandmother,55,F,1, , , , , , , , , 
HH2,2,2,Other relative,7,M,1, , , , , , , , , 
HH2,3,2,Grandfather,60,M,1, , , , , , , , , 
HH2,4,2,Father,31,M,0, , , , , , , , , 
HH3,1,2,Mother,37,F,0,1,1,1,1,0,0,0,3,3
HH3,2,2,Father,43,M,0,1,1,1,1,0,0,0,3,3
HH4,1,2,Mother,28,F,1,5,2,1,0,0,0,0,4,3
HH4,2,2,Nephew,21,M,0,5,2,1,0,0,0,0,4,3
HH4,3,2,Sister,9,F,1,5,2,1,0,0,0,0,4,3
HH4,4,2,Brother,4,M,1,5,2,1,0,0,0,0,4,3
HH5,1,2,Wife,35,F,1,1,1,1,1,0,1,1,3,3
HH5,2,2,Son,10,M,0,1,1,1,1,0,1,1,3,3
HH5,3,2,Other relative,39,M,0,1,1,1,1,0,1,1,3,3
HH5,4,2,Aunt,36,F,0,1,1,1,1,0,1,1,3,3
HH5,5,2,Son,12,M,0,1,1,1,1,0,1,1,3,3
HH5,6,2,Daughter,10,F,0,1,1,1,1,0,1,1,3,3
HH5,7,2,Daughter,2,F,0,1,1,1,1,0,1,1,3,3
HH6,1,2,Father,47,M,0,2,2,2,1,1,1,1,3,3
HH6,2,2,Mother,39,F,0,2,2,2,1,1,1,1,3,3
HH6,3,2,Brother,10,M,1,2,2,2,1,1,1,1,3,3
HH6,4,2,Brother,5,M,1,2,2,2,1,1,1,1,3,3
HH7,1,2,Sister,14,F,1,2,1,1,1,1,1,1,3,3
HH7,2,2,Sister,11,F,0,2,1,1,1,1,1,1,3,3
HH7,3,2,Sister,4,F,1,2,1,1,1,1,1,1,3,3
HH7,4,2,Mother,30,F,0,2,1,1,1,1,1,1,3,3
HH7,5,2,Father,40,M,0,2,1,1,1,1,1,1,3,3
HH7,6,2,Sister,0,F,0,2,1,1,1,1,1,1,3,3
HH8,1,2,Sister,7,F,0,4,2,1,0,0,0,0,3,3
HH8,2,2,Sister,6,F,0,4,2,1,0,0,0,0,3,3
HH8,3,2,Mother,30,F,1,4,2,1,0,0,0,0,3,3
HH8,4,2,Father,42,M,1,4,2,1,0,0,0,0,3,3
HH9,1,2,Wife,52,F,1,1,2,1,0,0,1,0,3,3
HH9,2,2,Daughter,19,F,0,1,2,1,0,0,1,0,3,3
HH9,3,2,Son,18,M,0,1,2,1,0,0,1,0,3,3
HH9,4,2,Son-in-law,21,M,0,1,2,1,0,0,1,0,3,3
HH9,5,2,Mother-in-law,81,F,0,1,2,1,0,0,1,0,3,3
HH9,6,2,Not related,46,M,0,1,2,1,0,0,1,0,3,3
HH10,1,2,Wife,33,F,1,2,2,1,1,0,1,1,3,3
HH10,2,2,Daughter,12,F,0,2,2,1,1,0,1,1,3,3
HH10,3,2,Son,1,M,1,2,2,1,1,0,1,1,3,3
HH10,4,2,Son,7,M,0,2,2,1,1,0,1,1,3,3
HH11,1,2,Father,32,M,0,2,2,2,1,0,1,1,3,3
HH11,2,2,Mother,30,F,0,2,2,2,1,0,1,1,3,3
HH11,3,2,Brother,8,M,1,2,2,2,1,0,1,1,3,3
HH12,1,2,Mother,36,F,1,1,1,1,1,0,1,1,3,3
HH13,1,2,Daughter,26,F,1, , , , , , , , , 
