"part_id","type","study_site","part_agegrp","current_student","current_educ_lev","school_name","school_village","school_district","distance_school","trasp_school","school_size","class_size","ever_worked","work_sector","work_sector_detail","distance_work","transp_work","transp_work_detail","workplace_size","workplace_village","workplace_district","distance_tarred_road","bicycle","motorcycle","car","tractor"
1,3,2,2,0,NA,"","","",NA,NA,NA,NA,0,NA,"",NA,NA,"",NA,"","",0,0,0,0,0
2,3,2,3,1,2,"Manjoro Primary School","Manjoro","Nyanga",1,1,311,44,0,7,"",NA,NA,"",NA,"","",NA,NA,NA,NA,NA
3,3,2,3,1,2,"Nyamhuka School","Nyamhuka","Nyanga",2,1,1000,45,NA,NA,"",NA,NA,"",NA,"","",1,0,0,0,0
4,3,2,2,0,NA,"","","",NA,NA,NA,NA,0,NA,"",NA,NA,"",NA,"","",2,0,0,0,0
5,1,2,6,0,NA,"","","",NA,NA,NA,NA,1,5,"",1,1,"",62,"Experiment Station","Nyanga",3,0,0,0,0
6,2,2,4,1,3,"Nyangani Secondary School","Hanga","Nyanga",1,1,1000,64,0,NA,"",NA,NA,"",NA,"","",0,0,0,0,0
7,3,2,3,0,NA,"","","",NA,NA,NA,NA,1,5,"",1,1,"",60,"Experiment","Nyanga",11,0,0,0,0
8,3,2,2,0,NA,"","","",NA,NA,NA,NA,0,NA,"",NA,NA,"",NA,"","",1,0,0,0,0
9,1,2,6,0,NA,"","","",NA,NA,NA,NA,0,NA,"",NA,NA,"",NA,"","",0,0,0,0,0
10,1,2,6,0,NA,"","","",NA,NA,NA,NA,1,8,"youth officer",2,1,"",150,"Mangondoza","Nyanga",0,0,0,0,0
11,3,2,2,0,NA,"","","",NA,NA,NA,NA,0,NA,"",NA,NA,"",NA,"","",0,0,0,0,0
12,3,2,3,1,2,"Nyamhuka School","Nyamhuka","Nyanga",2,1,950,50,0,NA,"",NA,NA,"",NA,"","",0,0,0,0,0
13,1,2,6,0,NA,"","","",NA,NA,NA,NA,0,7,"",NA,NA,"",NA,"","",NA,NA,NA,NA,NA
14,1,2,7,0,NA,"","","",NA,NA,NA,NA,0,NA,"",NA,NA,"",NA,"","",4,0,0,0,0
15,2,2,4,1,3,"Nyajezi School","Dzapasi","Nyanga",7,1,700,56,0,NA,"",NA,NA,"",NA,"","",NA,0,0,0,0
16,1,2,6,0,NA,"","","",NA,NA,NA,NA,0,7,"",NA,NA,"",NA,"","",NA,NA,NA,NA,NA
17,3,2,2,0,NA,"","","",NA,NA,NA,NA,0,NA,"",NA,NA,"",NA,"","",0,0,0,0,0
18,3,2,1,0,NA,"","","",NA,NA,NA,NA,0,NA,"",NA,NA,"",NA,"","",NA,NA,NA,NA,NA
19,3,2,2,0,NA,"","","",1,NA,NA,NA,0,NA,"",NA,NA,"",NA,"","",NA,NA,NA,NA,NA
20,1,2,6,0,NA,"","","",NA,NA,NA,NA,0,7,"",NA,NA,"",NA,"","",NA,NA,NA,NA,NA
21,2,2,4,0,NA,"","","",NA,NA,NA,NA,0,7,"",NA,NA,"",NA,"","",5,0,0,0,0
22,1,2,5,0,NA,"","","",NA,NA,NA,NA,1,3,"",3,1,"",3,"Dzapasi","Nyanga",20,0,0,0,0
23,3,2,3,0,NA,"","","",NA,NA,NA,NA,1,5,"",1,1,"",60,"Experiment Station","Nyanga",4,0,0,0,0
24,3,2,2,0,NA,"","","",NA,NA,NA,NA,0,NA,"",NA,NA,"",NA,"","",16,0,0,0,0
25,1,2,7,0,NA,"","","",NA,NA,NA,NA,0,NA,"",NA,NA,"",NA,"","",0,0,0,0,0
26,3,2,2,0,NA,"","","",NA,NA,NA,NA,0,NA,"",NA,NA,"",NA,"","",0,0,0,0,0
27,3,2,3,1,2,"Manjoro Primary School","Manjoro","Nyanga",3,1,300,43,0,7,"",NA,NA,"",NA,"","",6,NA,NA,NA,NA
28,1,2,7,0,NA,"","","",NA,NA,NA,NA,0,NA,"",NA,NA,"",NA,"","",NA,0,0,0,0
29,3,2,2,1,NA,"Nyamhuka School","Nyamhuka","Nyanga",2,1,NA,NA,0,NA,"",NA,NA,"",NA,"","",2,0,0,0,0
30,3,2,3,1,2,"Nyamhuka School","Nyamhuka","Nyanga",2,1,NA,NA,NA,NA,"",NA,NA,"",NA,"","",0,1,0,0,0
31,1,2,6,0,NA,"","","",NA,NA,NA,NA,0,7,"",NA,NA,"",NA,"","",0,0,0,0,0
32,3,2,2,0,NA,"","","",NA,NA,NA,NA,0,NA,"",NA,NA,"",NA,"","",NA,0,0,0,0
33,1,2,7,0,NA,"","","",NA,NA,NA,NA,0,7,"",NA,NA,"",NA,"","",0,0,0,0,0
34,3,2,1,0,NA,"","","",NA,NA,NA,NA,0,NA,"",NA,NA,"",NA,"","",0,0,0,0,0
35,1,2,6,0,NA,"","","",NA,NA,NA,NA,NA,NA,"",NA,NA,"",NA,"","",1,0,0,0,0
36,3,2,2,0,NA,"","","",NA,NA,NA,NA,0,NA,"",NA,NA,"",NA,"","",NA,NA,NA,NA,NA
