"part_id","sday_id","studyDay","day","month","year","dayofweek"
1,20130412,1,12,4,2013,5
1,20130413,2,13,4,2013,6
2,20130429,1,29,4,2013,1
2,20130430,2,30,4,2013,2
3,20130404,1,4,4,2013,4
3,20130405,2,5,4,2013,5
4,20130426,1,26,4,2013,5
4,20130427,2,27,4,2013,6
5,20130421,1,21,4,2013,0
5,20130422,2,22,4,2013,1
6,20130417,1,17,4,2013,3
6,20130418,2,18,4,2013,4
7,20130422,1,22,4,2013,1
7,20130423,2,23,4,2013,2
8,20130416,1,16,4,2013,2
8,20130417,2,17,4,2013,3
9,20130716,1,16,7,2013,2
9,20130717,2,17,7,2013,3
10,20130714,1,14,7,2013,0
10,20130715,2,15,7,2013,1
11,20130326,1,26,3,2013,2
11,20130327,2,27,3,2013,3
12,20130327,1,27,3,2013,3
12,20130328,2,28,3,2013,4
13,20130412,1,12,4,2013,5
13,20130413,2,13,4,2013,6
14,20130512,1,12,5,2013,0
14,20130513,2,13,5,2013,1
15,20130610,1,10,6,2013,1
15,20130611,2,11,6,2013,2
16,20130410,1,10,4,2013,3
16,20130411,2,11,4,2013,4
17,20130428,1,28,4,2013,0
17,20130429,2,29,4,2013,1
18,20130429,1,29,4,2013,1
18,20130430,2,30,4,2013,2
19,20130411,1,11,4,2013,4
19,20130412,2,12,4,2013,5
20,20130410,1,10,4,2013,3
20,20130411,2,11,4,2013,4
21,20130428,1,28,4,2013,0
21,20130429,2,29,4,2013,1
22,20130501,1,1,5,2013,3
22,20130502,2,2,5,2013,4
23,20130424,1,24,4,2013,3
23,20130425,2,25,4,2013,4
24,20130501,1,1,5,2013,3
24,20130502,2,2,5,2013,4
25,20130425,1,25,4,2013,4
25,20130426,2,26,4,2013,5
26,20130716,1,16,7,2013,2
26,20130717,2,17,7,2013,3
27,20130421,1,21,4,2013,0
27,20130422,2,22,4,2013,1
28,20130327,1,27,3,2013,3
28,20130328,2,28,3,2013,4
29,20130330,1,30,3,2013,6
29,20130331,2,31,3,2013,0
30,20130331,1,31,3,2013,0
30,20130401,2,1,4,2013,1
31,20130406,1,6,4,2013,6
31,20130407,2,7,4,2013,0
32,20130428,1,28,4,2013,0
32,20130429,2,29,4,2013,1
33,20130325,1,25,3,2013,1
33,20130326,2,26,3,2013,2
34,20130331,1,31,3,2013,0
34,20130401,2,1,4,2013,1
35,20130718,1,18,7,2013,4
35,20130719,2,19,7,2013,5
36,20130424,1,24,4,2013,3
36,20130425,2,25,4,2013,4
37,20130424,1,24,4,2013,3
37,20130425,2,25,4,2013,4
38,20130405,1,5,4,2013,5
38,20130406,2,6,4,2013,6
39,20130402,1,2,4,2013,2
39,20130403,2,3,4,2013,3
40,20130410,1,10,4,2013,3
40,20130411,2,11,4,2013,4
41,20130401,1,1,4,2013,1
41,20130402,2,2,4,2013,2
42,20130421,1,21,4,2013,0
42,20130422,2,22,4,2013,1
43,20130430,1,30,4,2013,2
43,20130501,2,1,5,2013,3
44,20130404,1,4,4,2013,4
44,20130405,2,5,4,2013,5
45,20130717,1,17,7,2013,3
45,20130718,2,18,7,2013,4
46,20130405,1,5,4,2013,5
46,20130406,2,6,4,2013,6
47,20130718,1,18,7,2013,4
47,20130719,2,19,7,2013,5
48,20130719,1,19,7,2013,5
48,20130720,2,20,7,2013,6
49,20130718,1,18,7,2013,4
49,20130719,2,19,7,2013,5
50,20130411,1,11,4,2013,4
50,20130412,2,12,4,2013,5
51,20130410,1,10,4,2013,3
51,20130411,2,11,4,2013,4
52,20130715,1,15,7,2013,1
52,20130716,2,16,7,2013,2
53,20130718,1,18,7,2013,4
53,20130719,2,19,7,2013,5
54,20130404,1,4,4,2013,4
54,20130405,2,5,4,2013,5
55,20130328,1,28,3,2013,4
55,20130329,2,29,3,2013,5
56,20130325,1,25,3,2013,1
56,20130326,2,26,3,2013,2
57,20130325,1,25,3,2013,1
57,20130326,2,26,3,2013,2
58,20130327,1,27,3,2013,3
58,20130328,2,28,3,2013,4
59,20130328,1,28,3,2013,4
59,20130329,2,29,3,2013,5
60,20130716,1,16,7,2013,2
60,20130717,2,17,7,2013,3
61,20130325,1,25,3,2013,1
61,20130326,2,26,3,2013,2
62,20130326,1,26,3,2013,2
62,20130327,2,27,3,2013,3
63,20130713,1,13,7,2013,6
63,20130714,2,14,7,2013,0
64,20130430,1,30,4,2013,2
64,20130501,2,1,5,2013,3
65,20130511,1,11,5,2013,6
65,20130512,2,12,5,2013,0
66,20130717,1,17,7,2013,3
66,20130718,2,18,7,2013,4
67,20130716,1,16,7,2013,2
67,20130717,2,17,7,2013,3
68,20130715,1,15,7,2013,1
68,20130716,2,16,7,2013,2
69,20130327,1,27,3,2013,3
69,20130328,2,28,3,2013,4
70,20130417,1,17,4,2013,3
70,20130418,2,18,4,2013,4
71,20130422,1,22,4,2013,1
71,20130423,2,23,4,2013,2
72,20130417,1,17,4,2013,3
72,20130418,2,18,4,2013,4
73,20130502,1,2,5,2013,4
73,20130503,2,3,5,2013,5
74,20130421,1,21,4,2013,0
74,20130422,2,22,4,2013,1
75,20130420,1,20,4,2013,6
75,20130421,2,21,4,2013,0
76,20130429,1,29,4,2013,1
76,20130430,2,30,4,2013,2
77,20130415,1,15,4,2013,1
77,20130416,2,16,4,2013,2
78,20130416,1,16,4,2013,2
78,20130417,2,17,4,2013,3
79,20130420,1,20,4,2013,6
79,20130421,2,21,4,2013,0
80,20130415,1,15,4,2013,1
80,20130416,2,16,4,2013,2
81,20130417,1,17,4,2013,3
81,20130418,2,18,4,2013,4
82,20130511,1,11,5,2013,6
82,20130512,2,12,5,2013,0
83,20130416,1,16,4,2013,2
83,20130417,2,17,4,2013,3
84,20130509,1,9,5,2013,4
84,20130510,2,10,5,2013,5
85,20130415,1,15,4,2013,1
85,20130416,2,16,4,2013,2
86,20130406,1,6,4,2013,6
86,20130407,2,7,4,2013,0
87,20130421,1,21,4,2013,0
87,20130422,2,22,4,2013,1
88,20130511,1,11,5,2013,6
88,20130512,2,12,5,2013,0
89,20130421,1,21,4,2013,0
89,20130422,2,22,4,2013,1
90,20130426,1,26,4,2013,5
90,20130427,2,27,4,2013,6
91,20130417,1,17,4,2013,3
91,20130418,2,18,4,2013,4
92,20130331,1,31,3,2013,0
92,20130401,2,1,4,2013,1
93,20130418,1,18,4,2013,4
93,20130419,2,19,4,2013,5
94,20130511,1,11,5,2013,6
94,20130512,2,12,5,2013,0
95,20130417,1,17,4,2013,3
95,20130418,2,18,4,2013,4
96,20130328,1,28,3,2013,4
96,20130329,2,29,3,2013,5
97,20130501,1,1,5,2013,3
97,20130502,2,2,5,2013,4
98,20130423,1,23,4,2013,2
98,20130424,2,24,4,2013,3
99,20130408,1,8,4,2013,1
99,20130409,2,9,4,2013,2
100,20130507,1,7,5,2013,2
100,20130508,2,8,5,2013,3
101,20130430,1,30,4,2013,2
101,20130501,2,1,5,2013,3
102,20130415,1,15,4,2013,1
102,20130416,2,16,4,2013,2
103,20130607,1,7,6,2013,5
103,20130608,2,8,6,2013,6
104,20130607,1,7,6,2013,5
104,20130608,2,8,6,2013,6
105,20130505,1,5,5,2013,0
105,20130506,2,6,5,2013,1
106,20130506,1,6,5,2013,1
106,20130507,2,7,5,2013,2
107,20130508,1,8,5,2013,3
107,20130509,2,9,5,2013,4
108,20130506,1,6,5,2013,1
108,20130507,2,7,5,2013,2
109,20130517,1,17,5,2013,5
109,20130518,2,18,5,2013,6
110,20130506,1,6,5,2013,1
110,20130507,2,7,5,2013,2
111,20130331,1,31,3,2013,0
111,20130401,2,1,4,2013,1
112,20130515,1,15,5,2013,3
112,20130516,2,16,5,2013,4
113,20130515,1,15,5,2013,3
113,20130516,2,16,5,2013,4
114,20130504,1,4,5,2013,6
114,20130505,2,5,5,2013,0
115,20130507,1,7,5,2013,2
115,20130508,2,8,5,2013,3
116,20130518,1,18,5,2013,6
116,20130519,2,19,5,2013,0
117,20130504,1,4,5,2013,6
117,20130505,2,5,5,2013,0
118,20130506,1,6,5,2013,1
118,20130507,2,7,5,2013,2
119,20130502,1,2,5,2013,4
119,20130503,2,3,5,2013,5
120,20130508,1,8,5,2013,3
120,20130509,2,9,5,2013,4
121,20130418,1,18,4,2013,4
121,20130419,2,19,4,2013,5
122,20130504,1,4,5,2013,6
122,20130505,2,5,5,2013,0
123,20130326,1,26,3,2013,2
123,20130327,2,27,3,2013,3
124,20130327,1,27,3,2013,3
124,20130328,2,28,3,2013,4
125,20130420,1,20,4,2013,6
125,20130421,2,21,4,2013,0
126,20130425,1,25,4,2013,4
126,20130426,2,26,4,2013,5
127,20130508,1,8,5,2013,3
127,20130509,2,9,5,2013,4
128,20130715,1,15,7,2013,1
128,20130716,2,16,7,2013,2
129,20130414,1,14,4,2013,0
129,20130415,2,15,4,2013,1
130,20130326,1,26,3,2013,2
130,20130327,2,27,3,2013,3
131,20130422,1,22,4,2013,1
131,20130423,2,23,4,2013,2
132,20130513,1,13,5,2013,1
132,20130514,2,14,5,2013,2
133,20130401,1,1,4,2013,1
133,20130402,2,2,4,2013,2
134,20130716,1,16,7,2013,2
134,20130717,2,17,7,2013,3
135,20130325,1,25,3,2013,1
135,20130326,2,26,3,2013,2
136,20130412,1,12,4,2013,5
136,20130413,2,13,4,2013,6
137,20130718,1,18,7,2013,4
137,20130719,2,19,7,2013,5
138,20130326,1,26,3,2013,2
138,20130327,2,27,3,2013,3
139,20130326,1,26,3,2013,2
139,20130327,2,27,3,2013,3
140,20130429,1,29,4,2013,1
140,20130430,2,30,4,2013,2
141,20130502,1,2,5,2013,4
141,20130503,2,3,5,2013,5
142,20130512,1,12,5,2013,0
142,20130513,2,13,5,2013,1
143,20130718,1,18,7,2013,4
143,20130719,2,19,7,2013,5
144,20130325,1,25,3,2013,1
144,20130326,2,26,3,2013,2
145,20130414,1,14,4,2013,0
145,20130415,2,15,4,2013,1
146,20130718,1,18,7,2013,4
146,20130719,2,19,7,2013,5
147,20130325,1,25,3,2013,1
147,20130326,2,26,3,2013,2
148,20130715,1,15,7,2013,1
148,20130716,2,16,7,2013,2
149,20130425,1,25,4,2013,4
149,20130426,2,26,4,2013,5
150,20130422,1,22,4,2013,1
150,20130423,2,23,4,2013,2
151,20130419,1,19,4,2013,5
151,20130420,2,20,4,2013,6
152,20130419,1,19,4,2013,5
152,20130420,2,20,4,2013,6
153,20130425,1,25,4,2013,4
153,20130426,2,26,4,2013,5
154,20130325,1,25,3,2013,1
154,20130326,2,26,3,2013,2
155,20130330,1,30,3,2013,6
155,20130331,2,31,3,2013,0
156,20130327,1,27,3,2013,3
