age_group,gender,pop
0-4,Male,961158 
5-9,Male,958717 
10-14,Male,835617 
15-19,Male,840341 
20-24,Male,687479 
25-29,Male,531805 
30-34,Male,508024 
35-39,Male,432576 
40-44,Male,352058 
45-49,Male,259088 
50-54,Male,153529 
55-59,Male,129731 
60-64,Male,110039 
65-69,Male,84012 
70-74,Male,58662 
75-79,Male,43763 
80+,Male,44467 
0-4,Female,993827 
5-9,Female,975510 
10-14,Female,847313 
15-19,Female,840657 
20-24,Female,706113 
25-29,Female,644630 
30-34,Female,603719 
35-39,Female,469918 
40-44,Female,367136 
45-49,Female,250196 
50-54,Female,180955 
55-59,Female,202584 
60-64,Female,151451 
65-69,Female,117042 
70-74,Female,79191 
75-79,Female,56554 
80+,Female,64376 
