age,gender,pop
0,Male,189633.5
1,Male,188470.5
2,Male,187563
3,Male,187026.5
4,Male,186601
5,Male,186306
6,Male,185974
7,Male,185488.5
8,Male,184727
9,Male,183606.5
10,Male,182078
11,Male,180003.5
12,Male,177309.5
13,Male,173967.5
14,Male,170083.5
15,Male,165759.5
16,Male,161145
17,Male,156297.5
18,Male,151376.5
19,Male,146418.5
20,Male,141584.5
21,Male,136880
22,Male,132423
23,Male,128216.5
24,Male,124318.5
25,Male,120771
26,Male,117505
27,Male,114451
28,Male,111558
29,Male,108768
30,Male,106013
31,Male,103255.5
32,Male,100460
33,Male,97594.4
34,Male,94635.4
35,Male,91528.7
36,Male,88287.95000000001
37,Male,84867.45
38,Male,81355.75
39,Male,77757.1
40,Male,74094.20000000001
41,Male,70433.85
42,Male,66785.5
43,Male,63205.05
44,Male,59706.850000000006
45,Male,56283.75
46,Male,52980.65
47,Male,49783.85
48,Male,46733.3
49,Male,43821.7
50,Male,41063.649999999994
51,Male,38473.15
52,Male,36060.85
53,Male,33808.25
54,Male,31738.5
55,Male,29816.9
56,Male,28078.45
57,Male,26493.65
58,Male,25058.05
59,Male,23766.65
60,Male,22624
61,Male,21611.7
62,Male,20706.1
63,Male,19890.9
64,Male,19155.35
65,Male,18475.45
66,Male,17842.199999999997
67,Male,17239.8
68,Male,16657.65
69,Male,16080.349999999999
70,Male,15501.5
71,Male,14924.1
72,Male,14345.05
73,Male,13752.55
74,Male,13179.2
75,Male,12666.150000000001
76,Male,12230.45
77,Male,11893
78,Male,11664.95
79,Male,11582.65
80,Male,11655.2
81,Male,11931
82,Male,12453.9
83,Male,13276.45
84,Male,14479.15
0,Female,192451
1,Female,194300
2,Female,195372.5
3,Female,195706
4,Female,195294
5,Female,194275
6,Female,192651
7,Female,190586
8,Female,188050.5
9,Female,185185
10,Female,182066.5
11,Female,178804.5
12,Female,175366
13,Female,171912
14,Female,168448
15,Female,164980.5
16,Female,161546.5
17,Female,158154
18,Female,154857.5
19,Female,151651.5
20,Female,148601
21,Female,145674
22,Female,142850.5
23,Female,140162
24,Female,137716.5
25,Female,135436.5
26,Female,133234
27,Female,131039.5
28,Female,128793.5
29,Female,126384
30,Female,123760
31,Female,120867
32,Female,117666
33,Female,114073
34,Female,110069.5
35,Female,105677
36,Female,100855
37,Female,95655
38,Female,90234.45000000001
39,Female,84767.29999999999
40,Female,79354.2
41,Female,74138.4
42,Female,69192.4
43,Female,64592.65
44,Female,60406.5
45,Female,56614.95
46,Female,53258.6
47,Female,50352.7
48,Female,47860.75
49,Female,45799.95
50,Female,44082.45
51,Female,42644.25
52,Female,41414.4
53,Female,40334.649999999994
54,Female,39364.55
55,Female,38462.5
56,Female,37585.15
57,Female,36683.2
58,Female,35748.5
59,Female,34730.55
60,Female,33611.35
61,Female,32375.7
62,Female,31029
63,Female,29631.25
64,Female,28203.3
65,Female,26785.45
66,Female,25379.449999999997
67,Female,24005.1
68,Female,22677.6
69,Female,21407.95
70,Female,20211.050000000003
71,Female,19098.25
72,Female,18061.9
73,Female,17113.15
74,Female,16275.75
75,Female,15563.7
76,Female,15012.650000000001
77,Female,14619.6
78,Female,14406.7
79,Female,14391.55
80,Female,14615.05
81,Female,15120
82,Female,15973.5
83,Female,17260.45
84,Female,19096.7
