"age","gender","pop"
0,"Male",336808
1,"Male",338210
2,"Male",343332
3,"Male",351954
4,"Male",344300
5,"Male",344592
6,"Male",360842
7,"Male",362708
8,"Male",365337
9,"Male",375297
10,"Male",388748
11,"Male",399022
12,"Male",401939
13,"Male",412448
14,"Male",418822
15,"Male",399449
16,"Male",393827
17,"Male",401947
18,"Male",423774
19,"Male",437937
20,"Male",480578
21,"Male",491485
22,"Male",498135
23,"Male",502705
24,"Male",490874
25,"Male",481129
26,"Male",483314
27,"Male",486336
28,"Male",501166
29,"Male",503461
30,"Male",497543
31,"Male",484755
32,"Male",469921
33,"Male",472159
34,"Male",460453
35,"Male",449580
36,"Male",451267
37,"Male",456308
38,"Male",478102
39,"Male",542188
40,"Male",574280
41,"Male",608365
42,"Male",652906
43,"Male",680638
44,"Male",692524
45,"Male",708462
46,"Male",719189
47,"Male",725438
48,"Male",706502
49,"Male",686821
50,"Male",666642
51,"Male",649083
52,"Male",619412
53,"Male",600273
54,"Male",577360
55,"Male",563338
56,"Male",546224
57,"Male",525273
58,"Male",518026
59,"Male",515670
60,"Male",501933
61,"Male",499676
62,"Male",467178
63,"Male",422549
64,"Male",407241
65,"Male",292525
66,"Male",383492
67,"Male",434105
68,"Male",412608
69,"Male",476529
70,"Male",466833
71,"Male",511138
72,"Male",460593
73,"Male",419507
74,"Male",389111
75,"Male",361391
76,"Male",339029
77,"Male",260878
78,"Male",230330
79,"Male",222253
80,"Male",215143
81,"Male",200632
82,"Male",181080
83,"Male",154612
84,"Male",127330
85,"Male",107922
86,"Male",85889
87,"Male",67261
88,"Male",58155
89,"Male",49802
90,"Male",39355
91,"Male",29746
92,"Male",11527
93,"Male",7994
94,"Male",6452
95,"Male",5065
96,"Male",5261
97,"Male",3533
98,"Male",2175
99,"Male",1354
100,"Male",1679
0,"Female",319265
1,"Female",320570
2,"Female",326040
3,"Female",333415
4,"Female",324494
5,"Female",326113
6,"Female",342735
7,"Female",343816
8,"Female",346600
9,"Female",357284
10,"Female",368453
11,"Female",378081
12,"Female",382516
13,"Female",392378
14,"Female",397535
15,"Female",379451
16,"Female",374355
17,"Female",379721
18,"Female",403872
19,"Female",419110
20,"Female",461136
21,"Female",471567
22,"Female",478631
23,"Female",484897
24,"Female",475389
25,"Female",472794
26,"Female",474820
27,"Female",478978
28,"Female",492891
29,"Female",496952
30,"Female",493679
31,"Female",481373
32,"Female",466265
33,"Female",467471
34,"Female",457508
35,"Female",445988
36,"Female",450075
37,"Female",455714
38,"Female",476139
39,"Female",536573
40,"Female",567146
41,"Female",596508
42,"Female",637032
43,"Female",665186
44,"Female",675340
45,"Female",686551
46,"Female",697208
47,"Female",704435
48,"Female",689684
49,"Female",674053
50,"Female",659939
51,"Female",644228
52,"Female",614390
53,"Female",597425
54,"Female",576429
55,"Female",568841
56,"Female",560284
57,"Female",543686
58,"Female",539601
59,"Female",537821
60,"Female",524726
61,"Female",522309
62,"Female",484950
63,"Female",442979
64,"Female",428787
65,"Female",313384
66,"Female",416014
67,"Female",468682
68,"Female",448494
69,"Female",527471
70,"Female",523587
71,"Female",586141
72,"Female",536581
73,"Female",495362
74,"Female",472372
75,"Female",450102
76,"Female",433389
77,"Female",343921
78,"Female",313844
79,"Female",315146
80,"Female",321210
81,"Female",311215
82,"Female",294423
83,"Female",269940
84,"Female",252498
85,"Female",238143
86,"Female",216398
87,"Female",186945
88,"Female",170218
89,"Female",154343
90,"Female",129964
91,"Female",103368
92,"Female",43231
93,"Female",31677
94,"Female",27286
95,"Female",23181
96,"Female",26132
97,"Female",18625
98,"Female",12575
99,"Female",8143
100,"Female",11766
