date,cum_cases,daily_cases,seven_day_avg
2020-01-22,0,0,NA
2020-01-23,0,0,NA
2020-01-24,0,0,NA
2020-01-25,0,0,0.5714285714285714
2020-01-26,0,0,0.5714285714285714
2020-01-27,1,1,0.5714285714285714
2020-01-28,4,3,0.7142857142857143
2020-01-29,4,0,1.1428571428571428
2020-01-30,4,0,1.4285714285714286
2020-01-31,5,1,1.5714285714285714
2020-02-01,8,3,1.1428571428571428
2020-02-02,10,2,1.1428571428571428
2020-02-03,12,2,1.1428571428571428
2020-02-04,12,0,1.1428571428571428
2020-02-05,12,0,0.7142857142857143
2020-02-06,12,0,0.5714285714285714
2020-02-07,13,1,0.2857142857142857
2020-02-08,13,0,0.5714285714285714
2020-02-09,14,1,0.5714285714285714
2020-02-10,14,0,0.5714285714285714
2020-02-11,16,2,0.42857142857142855
2020-02-12,16,0,0.42857142857142855
2020-02-13,16,0,0.2857142857142857
2020-02-14,16,0,0.2857142857142857
2020-02-15,16,0,0
2020-02-16,16,0,0
2020-02-17,16,0,0
2020-02-18,16,0,0
2020-02-19,16,0,0
2020-02-20,16,0,0
2020-02-21,16,0,0
2020-02-22,16,0,0
2020-02-23,16,0,0.7142857142857143
2020-02-24,16,0,1.4285714285714286
2020-02-25,16,0,5.285714285714286
2020-02-26,21,5,7.142857142857143
2020-02-27,26,5,14.428571428571429
2020-02-28,53,27,19.142857142857142
2020-02-29,66,13,24.571428571428573
2020-03-01,117,51,31.285714285714285
2020-03-02,150,33,46.142857142857146
2020-03-03,188,38,68.71428571428571
2020-03-04,240,52,88.28571428571429
2020-03-05,349,109,104.28571428571429
2020-03-06,534,185,137.42857142857142
2020-03-07,684,150,158.28571428571428
2020-03-08,847,163,189.57142857142858
2020-03-09,1112,265,288.57142857142856
2020-03-10,1296,184,361.14285714285717
2020-03-11,1567,271,444.42857142857144
2020-03-12,2369,802,570.1428571428571
2020-03-13,3062,693,700
2020-03-14,3795,733,837.1428571428571
2020-03-15,4838,1043,947.2857142857143
2020-03-16,6012,1174,1232.857142857143
2020-03-17,7156,1144,1556.4285714285713
2020-03-18,8198,1042,1838.142857142857
2020-03-19,10999,2801,1967.4285714285713
2020-03-20,13957,2958,2380
2020-03-21,16662,2705,2897.1428571428573
2020-03-22,18610,1948,3336.5714285714284
2020-03-23,22672,4062,3644.1428571428573
2020-03-24,27436,4764,4047.285714285714
2020-03-25,31554,4118,4560
2020-03-26,36508,4954,4848.142857142857
2020-03-27,42288,5780,4946.571428571428
2020-03-28,48582,6294,4925.285714285715
2020-03-29,52547,3965,5116
2020-03-30,57298,4751,5287.714285714285
2020-03-31,61913,4615,5344
2020-04-01,67366,5453,5313.714285714285
2020-04-02,73522,6156,5595.285714285715
2020-04-03,79696,6174,5441.857142857143
2020-04-04,85778,6082,5330.285714285715
2020-04-05,91714,5936,5123.142857142857
2020-04-06,95391,3677,4954.285714285715
2020-04-07,99225,3834,4832.714285714285
2020-04-08,103228,4003,4554.285714285715
2020-04-09,108202,4974,4109.285714285715
2020-04-10,113525,5323,3946.4285714285716
2020-04-11,117658,4133,3696.1428571428573
2020-04-12,120479,2821,3479.4285714285716
2020-04-13,123016,2537,3178.285714285714
2020-04-14,125098,2082,2900.714285714286
2020-04-15,127584,2486,2825.8571428571427
2020-04-16,130450,2866,2774
2020-04-17,133830,3380,2665.1428571428573
2020-04-18,137439,3609,2622.714285714286
2020-04-19,139897,2458,2587.1428571428573
2020-04-20,141672,1775,2513.714285714286
2020-04-21,143457,1785,2364.714285714286
2020-04-22,145694,2237,2142.714285714286
2020-04-23,148046,2352,2039.7142857142858
2020-04-24,150383,2337,1931.5714285714287
2020-04-25,152438,2055,1840
2020-04-26,154175,1737,1706.7142857142858
2020-04-27,155193,1018,1581.857142857143
2020-04-28,156337,1144,1482.142857142857
2020-04-29,157641,1304,1323.5714285714287
2020-04-30,159119,1478,1188.7142857142858
2020-05-01,160758,1639,1140.2857142857142
2020-05-02,161703,945,1074.7142857142858
2020-05-03,162496,793,1023.7142857142857
2020-05-04,163175,679,996
2020-05-05,163860,685,934.5714285714286
2020-05-06,164807,947,978.2857142857143
2020-05-07,166091,1284,960.2857142857143
2020-05-08,167300,1209,914.2857142857143
2020-05-09,168551,1251,949.7142857142857
2020-05-10,169218,667,928.4285714285714
2020-05-11,169575,357,878.2857142857143
2020-05-12,170508,933,836
2020-05-13,171306,798,745.8571428571429
2020-05-14,172239,933,733.8571428571429
2020-05-15,173152,913,731.7142857142857
2020-05-16,173772,620,671.7142857142857
2020-05-17,174355,583,671.5714285714286
2020-05-18,174697,342,644.7142857142857
2020-05-19,175210,513,580
2020-05-20,176007,797,582.5714285714286
2020-05-21,176752,745,560.8571428571429
2020-05-22,177212,460,553.2857142857143
2020-05-23,177850,638,541.7142857142857
2020-05-24,178281,431,479.57142857142856
2020-05-25,178570,289,423.57142857142856
2020-05-26,179002,432,463.7142857142857
2020-05-27,179364,362,478
2020-05-28,179717,353,457.2857142857143
2020-05-29,180458,741,463.57142857142856
2020-05-30,181196,738,432.2857142857143
2020-05-31,181482,286,429.42857142857144
2020-06-01,181815,333,435.2857142857143
2020-06-02,182028,213,401.85714285714283
2020-06-03,182370,342,354.57142857142856
2020-06-04,182764,394,356.7142857142857
2020-06-05,183271,507,339.7142857142857
2020-06-06,183678,407,359.2857142857143
2020-06-07,183979,301,355.85714285714283
2020-06-08,184193,214,378.85714285714283
2020-06-09,184543,350,343.2857142857143
2020-06-10,184861,318,334.85714285714283
2020-06-11,185416,555,327.14285714285717
2020-06-12,185674,258,324
2020-06-13,186022,348,328
2020-06-14,186269,247,331.85714285714283
2020-06-15,186461,192,335.42857142857144
2020-06-16,186839,378,408.57142857142856
2020-06-17,187184,345,444.7142857142857
2020-06-18,187764,580,507.57142857142856
2020-06-19,188534,770,556.8571428571429
2020-06-20,189135,601,574.7142857142857
2020-06-21,189822,687,609.2857142857143
2020-06-22,190359,537,616.4285714285714
2020-06-23,190862,503,574.5714285714286
2020-06-24,191449,587,586.8571428571429
2020-06-25,192079,630,525.2857142857143
2020-06-26,192556,477,486
2020-06-27,193243,687,485.2857142857143
2020-06-28,193499,256,468
2020-06-29,193761,262,449.85714285714283
2020-06-30,194259,498,445.42857142857144
2020-07-01,194725,466,407.57142857142856
2020-07-02,195228,503,405.14285714285717
2020-07-03,195674,446,399
2020-07-04,196096,422,383.57142857142856
2020-07-05,196335,239,373.7142857142857
2020-07-06,196554,219,365
2020-07-07,196944,390,357.7142857142857
2020-07-08,197341,397,351.42857142857144
2020-07-09,197783,442,352.7142857142857
2020-07-10,198178,395,344.14285714285717
2020-07-11,198556,378,347.2857142857143
2020-07-12,198804,248,340.7142857142857
2020-07-13,198963,159,353.85714285714283
2020-07-14,199375,412,380.7142857142857
2020-07-15,199726,351,402.2857142857143
2020-07-16,200260,534,395.7142857142857
2020-07-17,200843,583,408.57142857142856
2020-07-18,201372,529,424.2857142857143
2020-07-19,201574,202,439
2020-07-20,201823,249,444
2020-07-21,202345,522,477.14285714285717
2020-07-22,202799,454,513.1428571428571
2020-07-23,203368,569,527.8571428571429
2020-07-24,204183,815,540.8571428571429
2020-07-25,204964,781,556.7142857142857
2020-07-26,205269,305,589.5714285714286
2020-07-27,205609,340,637.1428571428571
2020-07-28,206242,633,645
2020-07-29,206926,684,669.8571428571429
2020-07-30,207828,902,660.5714285714286
2020-07-31,208698,870,684.7142857142857
2020-08-01,209653,955,719.8571428571429
2020-08-02,209893,240,728
2020-08-03,210402,509,748.4285714285714
2020-08-04,211281,879,788
2020-08-05,212022,741,811.8571428571429
2020-08-06,213067,1045,856.8571428571429
2020-08-07,214214,1147,846.4285714285714
2020-08-08,215336,1122,858.8571428571429
