date,cum_deaths
2020-01-22,0
2020-01-23,0
2020-01-24,0
2020-01-25,0
2020-01-26,0
2020-01-27,0
2020-01-28,0
2020-01-29,0
2020-01-30,0
2020-01-31,0
2020-02-01,0
2020-02-02,0
2020-02-03,0
2020-02-04,0
2020-02-05,0
2020-02-06,0
2020-02-07,0
2020-02-08,0
2020-02-09,0
2020-02-10,0
2020-02-11,0
2020-02-12,0
2020-02-13,0
2020-02-14,0
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,0
2020-02-27,0
2020-02-28,0
2020-02-29,0
2020-03-01,0
2020-03-02,0
2020-03-03,0
2020-03-04,0
2020-03-05,0
2020-03-06,0
2020-03-07,0
2020-03-08,0
2020-03-09,2
2020-03-10,2
2020-03-11,3
2020-03-12,5
2020-03-13,5
2020-03-14,8
2020-03-15,12
2020-03-16,12
2020-03-17,12
2020-03-18,12
2020-03-19,20
2020-03-20,31
2020-03-21,47
2020-03-22,55
2020-03-23,86
2020-03-24,114
2020-03-25,149
2020-03-26,198
2020-03-27,253
2020-03-28,325
2020-03-29,389
2020-03-30,455
2020-03-31,583
2020-04-01,732
2020-04-02,872
2020-04-03,1017
2020-04-04,1158
2020-04-05,1342
2020-04-06,1434
2020-04-07,1607
2020-04-08,1861
2020-04-09,2107
2020-04-10,2373
2020-04-11,2544
2020-04-12,2673
2020-04-13,2799
2020-04-14,2969
2020-04-15,3254
2020-04-16,3569
2020-04-17,3868
2020-04-18,4110
2020-04-19,4294
2020-04-20,4404
2020-04-21,4598
2020-04-22,4879
2020-04-23,5094
2020-04-24,5321
2020-04-25,5500
2020-04-26,5640
2020-04-27,5750
2020-04-28,5913
2020-04-29,6115
2020-04-30,6288
2020-05-01,6481
2020-05-02,6575
2020-05-03,6649
2020-05-04,6692
2020-05-05,6831
2020-05-06,6996
2020-05-07,7119
2020-05-08,7266
2020-05-09,7369
2020-05-10,7395
2020-05-11,7417
2020-05-12,7533
2020-05-13,7634
2020-05-14,7723
2020-05-15,7824
2020-05-16,7881
2020-05-17,7914
2020-05-18,7935
2020-05-19,8007
2020-05-20,8090
2020-05-21,8147
2020-05-22,8174
2020-05-23,8216
2020-05-24,8247
2020-05-25,8257
2020-05-26,8302
2020-05-27,8349
2020-05-28,8411
2020-05-29,8450
2020-05-30,8489
2020-05-31,8500
2020-06-01,8511
2020-06-02,8522
2020-06-03,8551
2020-06-04,8581
2020-06-05,8613
2020-06-06,8646
2020-06-07,8668
2020-06-08,8674
2020-06-09,8711
2020-06-10,8729
2020-06-11,8755
2020-06-12,8763
2020-06-13,8781
2020-06-14,8787
2020-06-15,8791
2020-06-16,8800
2020-06-17,8830
2020-06-18,8856
2020-06-19,8872
2020-06-20,8883
2020-06-21,8882
2020-06-22,8885
2020-06-23,8895
2020-06-24,8914
2020-06-25,8927
2020-06-26,8948
2020-06-27,8954
2020-06-28,8957
2020-06-29,8961
2020-06-30,8973
2020-07-01,8985
2020-07-02,8994
2020-07-03,9003
2020-07-04,9010
2020-07-05,9012
2020-07-06,9016
2020-07-07,9024
2020-07-08,9036
2020-07-09,9048
2020-07-10,9054
2020-07-11,9060
2020-07-12,9063
2020-07-13,9064
2020-07-14,9068
2020-07-15,9071
2020-07-16,9078
2020-07-17,9082
2020-07-18,9083
2020-07-19,9084
2020-07-20,9086
2020-07-21,9090
2020-07-22,9095
2020-07-23,9101
2020-07-24,9111
2020-07-25,9118
2020-07-26,9118
2020-07-27,9118
2020-07-28,9122
2020-07-29,9128
2020-07-30,9134
2020-07-31,9141
2020-08-01,9148
2020-08-02,9141
2020-08-03,9148
2020-08-04,9156
2020-08-05,9168
2020-08-06,9175
